text,label
Government passes new education reform bill.,real
Central Bank lowers interest rates by 0.5%.,real
Economy grows 5.4% in the last quarter.,real
Man turns invisible after drinking energy drink.,fake
"Moon made of cheese, says new study.",fake
Healthcare funding increased in new budget.,real
Economy grows 5.4% in the last quarter.,real
Healthcare funding increased in new budget.,real
"Chocolate milk comes from brown cows, experts say.",fake
NASA successfully lands rover on Mars.,real
Cure for aging found in Himalayan cave.,fake
Dinosaurs seen alive in Amazon rainforest.,fake
Aliens discovered under the White House.,fake
Supreme Court rules on landmark privacy case.,real
Tech company announces breakthrough AI chip.,real
Scientists prove Earth is flat in secret study.,fake
Dinosaurs seen alive in Amazon rainforest.,fake
Aliens discovered under the White House.,fake
Global climate deal signed by 200 nations.,real
Man turns invisible after drinking energy drink.,fake
Global climate deal signed by 200 nations.,real
Global climate deal signed by 200 nations.,real
Economy grows 5.4% in the last quarter.,real
Global climate deal signed by 200 nations.,real
Supreme Court rules on landmark privacy case.,real
Healthcare funding increased in new budget.,real
"Chocolate milk comes from brown cows, experts say.",fake
Supreme Court rules on landmark privacy case.,real
New COVID-19 vaccine shows 95% effectiveness.,real
Bill Gates admits to being a lizard person.,fake
Teleportation device sold on dark web.,fake
Man turns invisible after drinking energy drink.,fake
New COVID-19 vaccine shows 95% effectiveness.,real
Government passes new education reform bill.,real
Scientists prove Earth is flat in secret study.,fake
Healthcare funding increased in new budget.,real
"Moon made of cheese, says new study.",fake
Man turns invisible after drinking energy drink.,fake
Government passes new education reform bill.,real
Cure for aging found in Himalayan cave.,fake
Man turns invisible after drinking energy drink.,fake
Government passes new education reform bill.,real
Bill Gates admits to being a lizard person.,fake
Central Bank lowers interest rates by 0.5%.,real
Bill Gates admits to being a lizard person.,fake
NASA successfully lands rover on Mars.,real
New COVID-19 vaccine shows 95% effectiveness.,real
Scientists prove Earth is flat in secret study.,fake
Dinosaurs seen alive in Amazon rainforest.,fake
Central Bank lowers interest rates by 0.5%.,real
Global climate deal signed by 200 nations.,real
